method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"1029793050, 1049965831, 1054280694, 1054874885, 1089093684, 1147931612, 1181999495, 1189519998, 1333754772, 1363380846, 1407206984, 1452743626, 1495236598, 1569166604, 1590689424, 164671343, 171351548, 1723659721, 1727305099, 1733927687, 1777431870, 1964956181, 2021942058, 2040363291, 2150430353, 216541163, 2179533791, 2188458391, 2235187207, 2245527510, 2306835367, 2414746541, 2476598162, 2481039319, 2548894018, 2579987619, 2585704887, 2621058733, 2639458069, 2683547687, 2703904443, 2709844366, 2749839500, 2788143082, 2825771999, 2826841906, 2887471415, 3033267151, 3050641832, 3076571691, 308476031, 3099482762, 311829746, 3163563145, 3202349471, 3252500352, 3281395518, 3334267499, 3425921950, 3501887962, 3616066634, 3635560182, 3635900943, 3645075958, 3674530459, 3730076192, 3752925513, 3754495240, 3774845762, 380276998, 3812531458, 3854204275, 389321713, 3897777589, 3920444000, 3925492821, 3947865104, 3964476628, 403119555, 4060275971, 4077728934, 4101174427, 4126455624, 4207503021, 4252892601, 4259021208, 4280661280, 435650433, 508078931, 569802017, 606468504, 654356530, 720242422, 766803647, 771401455, 771851630, 791878806, 940247255"
median,L1,"1029793050, 1049965831, 1054280694, 1054874885, 1089093684, 1147931612, 1181999495, 1189519998, 1333754772, 1363380846, 1407206984, 1452743626, 1495236598, 1569166604, 1590689424, 164671343, 171351548, 1723659721, 1727305099, 1733927687, 1777431870, 1964956181, 2021942058, 2040363291, 2150430353, 216541163, 2179533791, 2188458391, 2235187207, 2245527510, 2306835367, 2328733453, 2414746541, 2476598162, 2481039319, 2548894018, 2579987619, 2585704887, 2621058733, 2639458069, 2683547687, 2703904443, 2709844366, 2749839500, 2788143082, 2825771999, 2826841906, 2887471415, 3033267151, 3050641832, 3076571691, 3099482762, 311829746, 3163563145, 3202349471, 3252500352, 3281395518, 3334267499, 3425921950, 3501887962, 3616066634, 3635560182, 3635900943, 3645075958, 3674530459, 3730076192, 3752925513, 3754495240, 3774845762, 380276998, 3812531458, 3854204275, 389321713, 3897777589, 3920444000, 3925492821, 3947865104, 3964476628, 403119555, 4060275971, 4077728934, 4101174427, 4126455624, 4207503021, 422442232, 4252892601, 4259021208, 4280661280, 435650433, 508078931, 569802017, 606468504, 654356530, 720242422, 766803647, 771401455, 771851630, 791878806, 940247255"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,308476031
average,L2,"1029793050, 1049965831, 1054280694, 1054874885, 1089093684, 1147931612, 1181999495, 1189519998, 1333754772, 1363380846, 1407206984, 1452743626, 1495236598, 1569166604, 1590689424, 164671343, 171351548, 1723659721, 1727305099, 1733927687, 1777431870, 1964956181, 2021942058, 2040363291, 2150430353, 216541163, 2179533791, 2188458391, 2235187207, 2245527510, 2306835367, 2328733453, 2414746541, 2476598162, 2481039319, 2548894018, 2579987619, 2585704887, 2621058733, 2639458069, 2683547687, 2703904443, 2709844366, 2749839500, 2788143082, 2825771999, 2826841906, 2887471415, 3033267151, 3050641832, 3076571691, 308476031, 3099482762, 311829746, 3163563145, 3202349471, 3252500352, 3281395518, 3334267499, 3425921950, 3501887962, 3616066634, 3635560182, 3635900943, 3645075958, 3674530459, 3730076192, 3752925513, 3754495240, 3774845762, 380276998, 3812531458, 3854204275, 389321713, 3897777589, 3920444000, 3925492821, 3947865104, 3964476628, 403119555, 4060275971, 4077728934, 4101174427, 4126455624, 4207503021, 422442232, 4252892601, 4259021208, 4280661280, 435650433, 508078931, 569802017, 606468504, 654356530, 720242422, 766803647, 771401455, 771851630, 791878806, 940247255"
average,Linf,"2328733453, 422442232"
ward,L1,
ward,L2,
ward,Linf,
